Material_Code,itemdesc,Item_Type,State_Name,Valid_Start_Date,Valid_End_Date,Sale_Start_Date,Sale_End_Date,SerialNo_Entry_Start_Date,SerialNo_Entry_End_Date,Entries_Count,Multiplier_Count,Multiplier_Type,ErrorDescription
1.29972E+11,PCB ASLY TSTD RD972-00 SUNSHINE APC,Battery,ANDAMAN AND NICOBAR,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,add,Invalid Material Code.
1.29975E+11,PCB ASLY TSTD RD975-00 SUNSHINE APC,Battery,ANDAMAN AND NICOBAR,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,add,Invalid Material Code.
1.29972E+11,PCB ASLY TSTD RD972-00 SUNSHINE APC,Battery,ANDHRA PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,add,Invalid Material Code.
1.29975E+11,PCB ASLY TSTD RD975-00 SUNSHINE APC,Battery,ANDHRA PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,add,Invalid Material Code.
1.29972E+11,PCB ASLY TSTD RD972-00 SUNSHINE APC,Battery,ARUNACHAL PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,add,Invalid Material Code.
1.29975E+11,PCB ASLY TSTD RD975-00 SUNSHINE APC,Battery,ARUNACHAL PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,add,Invalid Material Code.
T1110G470200,LUM 12V 200AH GEL BATTERY,Battery,ARUNACHAL PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,jhgj,Multiplier Type only allowed - Add/Mul.
F1110JES0070,MAXIMA 12V70AH SMF FNSD BTY,Battery,ARUNACHAL PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,jhgj,Multiplier Type only allowed - Add/Mul.
T1113JBF07D5,LUM 12V7.5AH SOLAR SMF BTY
,Battery,ARUNACHAL PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,hgfh,Multiplier Type only allowed - Add/Mul.
#N/A20,LUMINOUS 7.2 AH 12V SMF BATTERY T,Battery,ARUNACHAL PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,jhgj,Multiplier Type only allowed - Add/Mul.
F1151J358100,MAXMA 12V100 AH C20 SMF FNSD BTY V18,Battery,ARUNACHAL PRADESH,05-01-2020 00:00:00,06-01-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,01-05-2020 00:00:00,01-06-2020 00:00:00,1,22.33,jhgj,Multiplier Type only allowed - Add/Mul.
