Material_Code,itemdesc,Item_Type,State_Name,Valid_Start_Date,Valid_End_Date,Sale_Start_Date,Sale_End_Date,SerialNo_Entry_Start_Date,SerialNo_Entry_End_Date,Entries_Count,Multiplier_Count,Multiplier_Type
T1201A001J0L,12V35Ah CPL 38B20L Auto BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1107A040135,HP 16000 BATTERY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1107A050150,HP 1800 BATTERY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1107A060150,HP 18000 BATTERY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1107B060150,HP TUB 18000 BATTERY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1109A150135,LUCAS 135 AH 12V BATTERY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1109A160150,LUCAS 150 AH 12V BATTERY M,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1109C320150,LUCAS TALL TUB. BATTERY 12V150AH-LSLT150,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1109B160150,LUCAS TUBULAR BATTREY 150 AH,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1109B200180,LUCAS TUBULAR BATTREY 180 AH,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
